id;text;category;start_position_1;start_position_2;start_position_3;stop_position_1;stop_position_2;stop_position_3
1806212;RT @frequenzen: sexuelle gewalt mit vergewaltigungsfantasien gegen weinstein thematisieren. habt ihr #metoo so richtig gut verstanden #nich?;SEXUAL_LIFE, WEALTH;16;111;;19;115;
2365108;#MeToo movement lawmaker investigated for sexual misconduct https://t.co/bTilUvoHOh |Female groping male #CApolitics;SEXUAL_LIFE;42;;;45;;
2365096;"RT @Motherboard_DE: Wir haben mit Frauen ?ber sexuelle Bel?stigung in der Hacker-Szene gesprochen:
?? https://t.co/lck0iVWBWW

Manche M?nn?""";SEXUAL_LIFE;46;;;49;;
2365083;Approved sexual assualt by metoo. You idiots!;SEXUAL_LIFE;9;;;12;;
2365062;RT @activist360: Charles in Charge cast member Alexander Polinsky backs Nicole Eggert claims against Trump-loving, child sexual assaulter?;SEXUAL_LIFE;121;;;124;;
2365060;RT @cmarinucci: #MeToo movement lawmaker investigated for sexual misconduct https://t.co/UbpnH42FA9;SEXUAL_LIFE;58;;;61;;
2365058;Accountability for all. #MeToo movement lawmaker investigated for sexual misconduct https://t.co/1Zk4JAPyqf;SEXUAL_LIFE;66;;;69;;
2365038;RT @ndaktuell: #AfD-Politikerin plant am 17.02. in Berlin Kreuzberg rechten Frauenmarsch gegen sexualisierte Gewalt durch Gefl?chtete / lin?;SEXUAL_LIFE;95;;;98;;
2365023;"RT @cmclymer: California Assemblywoman Cristina Garcia is being accused by two men, a former staffer and a lobbyist, of sexual assault:

#M?";SEXUAL_LIFE;120;;;123;;
2365018;RT @davidsiders: News: #MeToo movement lawmaker investigated for sexual misconduct via @cmarinucci https://t.co/D1w740l0g6;SEXUAL_LIFE;65;;;68;;
2365010;RT @DaShanneStokes: Who is a man who incites violence, inspires the KKK, defends Nazis, and endorses sexual assault to be lecturing America?;SEXUAL_LIFE;101;;;104;;
2365009;RT @voguemagazine: With multiple allegations of misconduct, and models taking to social media to decry sexual harassment, fashion is in the?;SEXUAL_LIFE;103;;;106;;
2365002;RT @emorwee: BREAKING: The @NSF (a huge government funder of research) has announced new sexual harassment requirements for grantees in the?;SEXUAL_LIFE;89;;;92;;
2364980;@joanwalsh @Slate We have a sexual predator sitting in the Oval Office, they don?t give a ?about a domestic violenc? https://t.co/1iuyAJKS2E;SEXUAL_LIFE;28;;;31;;
2364945;#MeToo movement lawmaker in California investigated for sexual misconduct - @cmarinucci has the story https://t.co/9Zr1F9KsLh;SEXUAL_LIFE;56;;;59;;
2364932;RT @monaeltahawy: I am glad to see women are speaking out about being sexually harassed during Hajj. Several years ago, i shared my own exp?;SEXUAL_LIFE;70;;;73;;
2364921;UMMC experts: sexual harassment headlines about the #MeToo movement create ?teachable moment? for families.? https://t.co/5xsNKJcbPj;SEXUAL_LIFE;14;;;17;;
2364915;"RT @politico: #MeToo movement lawmaker investigated for sexual misconduct
https://t.co/XUUpZoO5g8 https://t.co/5nI2fbgQnB";SEXUAL_LIFE;56;;;59;;
2364914;RT @jessphoenix2018: .@NSF implementing rules to require universities to report primary researchers accused of sexual misconduct is a HUGE?;SEXUAL_LIFE;111;;;114;;
2364895;News: #MeToo movement lawmaker investigated for sexual misconduct via @cmarinucci https://t.co/D1w740l0g6;SEXUAL_LIFE;48;;;51;;
2364845;"The leading cause of PTSD in men is sexual assault, followed by combat. 

Now, if #MeToo is indeed about sexual ass? https://t.co/hVpU5JLd9g";SEXUAL_LIFE;36;;;39;;
2364835;"RT @PublicSexCrimes: Opfer sexueller ?bergriffe im ?ffentlichen Raum Januar 2018:

Insgesamt 286 Opfer
85 Opfer minderj?hrig

9 Opfer von V?";SEXUAL_LIFE;27;;;30;;
2364831;RT @rafaelgumucioa: El sexo ya no es divertido | @ctxt_es  @sergiodelmolino https://t.co/OdB2wzkR7z;SEXUAL_LIFE;23;;;26;;
2364823;Riding the wave of #MeToo movement, new research energy and awareness of how sexual harassment can harm physical he? https://t.co/94Zy023IKT;SEXUAL_LIFE;77;;;80;;
2364794;Going to the lady Dr. after sexual abuse is the most torturous morning of the year. Today, I am grateful for my Dr.? https://t.co/3kZU7hzytf;SEXUAL_LIFE;28;;;31;;
2364786;"RT @CarClemens: I?ve heard several men AND women speak negatively about the #MeToo &amp; women?s rights movements?sexual assault and domestic v?";SEXUAL_LIFE;114;;;117;;
2364775;Pol?tica #MeToo movement lawmaker investigated for sexual misconduct https://t.co/Wi4RsGmoFA;SEXUAL_LIFE;51;;;54;;
2364762;RT @redlianak: Gee, remember when Milo said I wasnt a real journalist and it was rightly labelled sexist? We have the inverse happening he?;SEXUAL_LIFE;98;;;101;;
2364745;RT @JenAFifield: Folks, this is JUST involving state legislatures. When you start looking at what states have spent on sexual harassment cl?;SEXUAL_LIFE;119;;;122;;
2364739;"RT @SoCassandra: Voiceover is having a #metoo moment. PSA: Just because your direction or character is sexy"" does not mean ANYONE in the s?""";SEXUAL_LIFE;103;;;106;;
2364729;RT @MagdalenaProust: Yo tambi?n me pregunto por qu? tanta insistencia en convertir el sexo en el centro de la pol?mica. Es rid?culo decir q?;SEXUAL_LIFE;86;;;89;;
2364715;RT @jessphoenix2018: .@NSF implementing rules to require universities to report PIs accused of sexual misconduct is a HUGE step forward for?;SEXUAL_LIFE;95;;;98;;
2364600;RT @WEHOville: Alleged sexual assault by local porn performer raises #MeToo issues in WeHo.- WEHOville https://t.co/vavYd01lck;SEXUAL_LIFE;23;;;26;;
2364570;Whats the difference between sexual abuse, sexual assault and rape? Psychology professor Sarah L. Cook explains fo? https://t.co/p6Dak6XJcN;SEXUAL_LIFE;29;;;32;;
2364552;I am glad to see women are speaking out about being sexually harassed during Hajj. Several years ago, i shared my o? https://t.co/8FzZuNh2Wi;SEXUAL_LIFE;52;;;55;;
2364551;RT @DaShanneStokes: America has been governed by a vile, lying bigot and sexual predator installed through an illegal act of war for 384 da?;SEXUAL_LIFE;73;;;76;;
2364545;RT @AM2DM: A legal loophole in 35 states that allows on-duty police officers to have sex with detainees is under fire in the current post-F?;SEXUAL_LIFE;85;;;88;;
2364542;RT @Chicago_Reader: Got info about sexual harassment, assault, unwanted physical contact, and/or bullying at NUs Medill School or with Ale?;SEXUAL_LIFE;35;;;38;;
2364528;#timesup #metoo #weinstein would seem women will flock to a #misogynist #sexist #objectifying movie like this , but? https://t.co/qIehVkp0K8;SEXUAL_LIFE;73;;;76;;
2363443;RT @dianeducret: Soutien et respect ? @francishuster qui r?v?le avoir ?t? agress? sexuellement ?tant enfant. #Metoo ce nest pas les femmes?;SEXUAL_LIFE;82;;;85;;
2363435;RT @andrewjkellogg: Reminder 1/6 women, 1/33 men are sexually assaulted sometime in their life, reminder these are low estimates cause most?;SEXUAL_LIFE;53;;;56;;
2363432;"RT @THR: .@LaverneCox: I notice when some trans women have come forward and say that they have been sexually assaulted there has been a di?""";SEXUAL_LIFE;100;;;103;;
2363428;RT @RT_com: Sex and ?68: Liberal movement revolutionized ?sexuality? but at what cost? - Op-Ed by @Slavojiek https://t.co/h75rx1zFvs https:?;SEXUAL_LIFE;58;;;61;;
2363410;RT @cocodobby23: #Metoo? ce nest pas les femmes contre les hommes, ce sont les humains contre la violence sexuelle. Et les victimes sont d?;SEXUAL_LIFE;106;;;109;;
2363392;RT @jwjnational: Despite the recent strength of the #MeToo movement, working people still fear workplace retaliation if they report sexual?;SEXUAL_LIFE;132;;;135;;
2363371;"I?ve heard several men AND women speak negatively about the #MeToo &amp; women?s rights movements?sexual assault and do? https://t.co/TbHlnpS9Kx";SEXUAL_LIFE;98;;;101;;
2363368;RT @HiddenBrain: In 1993, a group of women accused playwright Israel Horovitz of sexual misconduct and nothing happened. In 2017, more wome?;SEXUAL_LIFE;81;;;84;;
