id;text;category;start_position_1;start_position_2;start_position_3;stop_position_1;stop_position_2;stop_position_3
1319387;RT @inthefrow: The response, comments, dms, emails and tweets from last nights video has been so overwhelming and incredible. Im heartbrok?;MAIL;44;;;49;;
1319413;"Watched @oneofusdoc last night on @Netflix starring @twersky. Phenomenal; Educational; Tearful; Joyful! #Hasidic #Jewish #MeToo?#fb";POLITICS;114;;;120;;
1320763;RT @ndaktuell: ?ber 90 Personen berichteten ?ber sexuelle ?bergriffe von hochrangigen #EU-Politikern #metoo https://t.co/NRGilvjOvr;WEALTH;34;;;38;;
1320965;RT @ndaktuell: ?ber 90 Personen berichteten ?ber sexuelle ?bergriffe von hochrangigen #EU-Politikern #metoo https://t.co/NRGilvjOvr;WEALTH;34;;;38;;
1321024;Dear #MeToo Christians: Time to Take a Long Look in the Mirror https://t.co/0CWg6n17GT;POLITICS;12;;;21;;
1321101;RT @LMG_eV: Sexismus an der Uni: Studentinnen, eine Professorin und eine Frauenbeauftragte berichten, via @tagesspiegel #MeToo https://t.co?;WEALTH;93;;;97;;
1321127;@margitrichert Visst. M?nga idioter har f?tt v?dra sig under #metoo. Men tycker ?nd? inte det ?r helt irrelevant va? https://t.co/nCxNallKj0;WEALTH;7;;;11;;
1321734;@AmyMek Cultural enrichment. Nothing to see here. #metoo #RefugeesWelcome #stopharper #jaytard;WEALTH;19;;;23;;
1322013;TUES | More Than #MeToo: What can be done in response to sexual harassment? ?Leave a voicemail at 210-615-8982! https://t.co/vgrZwu2Tle;MAIL;89;;;94;;
1322124;RT @TPRSource: TUES | More Than #MeToo: What can be done in response to sexual harassment? ?Leave a voicemail at 210-615-8982! https://t.co?;MAIL;104;;;109;;
1324141;"@Rosie It hurts my soul
Me
In the Hamptons 
Had a wealthy man who had a rehab 
Have me sponsored by an older man

H? https://t.co/e9TSRAYrvh";WEALTH;50;;;56;;
1324276;"RT @wcsek: @Rosie It hurts my soul
Me
In the Hamptons 
Had a wealthy man who had a rehab 
Have me sponsored by an older man

He did disgust?";WEALTH;61;;;67;;
1324296;And yet hes still roaming the streets!!! Where are the cops?!?? Oh thats right, the rules dont apply to the rich? https://t.co/kuKakZZ0r0;WEALTH;108;;;112;;
1324313;RT @trillianewbell: Keep thinking about #MeToo. Christian men in authority, I pray you are paying attention. It isnt out there. Its here.?;POLITICS;48;;;57;;
1327723;RT @silasmorgan: Dear #MeToo Christians: Time to Take a Long Look in the Mirror https://t.co/mwWwRyaKo7;POLITICS;29;;;38;;
1328276;Neuropsycholoog over #metoo-zaken: Geheugen werkt niet als computer https://t.co/w9yrxidWaY #maastricht #provincie #nieuwslimburg;WEALTH;98;;;102;;
1331072;Man man man! Het volksgericht heeft weer gesproken! Erger: gerespecteerde media doen er aan mee! Gevalletje ophitsing lijkt mij! #metoo;WEALTH;24;;;28;;
1331137;"All these rich &amp; famous ppl tweeting #MeToo need to help him fund this. Hes trying so hard to do the right thing ? https://t.co/m1UXVNRkzE";WEALTH;10;;;14;;
1336570;RT @CernoCreatives: If Harvey Weinstein converted, would raping his way through Hollywood suddenly be cultural enrichment? #metoo https://t?;WEALTH;113;;;117;;
1336628;RT @nrc: De media slaan door in de berichtgeving over de #MeToo-beweging, zegt advocaat Ivonne Leenhouwers https://t.co/fMFcWjxQBl https://?;WEALTH;37;;;41;;
1338356;When you file a complaint with HR about harassment and then get an email asking you to congratulate the guy on his? https://t.co/e5Yb1Tt05Y;MAIL;67;;;72;;
1338370;I love how @Uber never responded to my emails, and ignores my tweets. Is it because I chose to not keep quiet? #UberSucks #MeToo;MAIL;39;;;44;;
1338920;Medienversagen im Fall @Kachelmann + richtige #metoo Debatte: Heute ALLE Seiten bei @ZappMM Dazu ?????? + ARD-Strukturreform 23:20 -;WEALTH;37;;;41;;
1339115;"I have had so many texts, calls &amp; emails about this latest scandal in Nashville.
I will always stand with the victims! #MeToo.";MAIL;38;;;43;;
1339152;@Femail #MeToo;MAIL;2;;;7;;
1339308;RT @AnnLeiterin: Medienversagen im Fall @Kachelmann + richtige #metoo Debatte: Heute ALLE Seiten bei @ZappMM Dazu ?????? + ARD-Strukturrefo?;WEALTH;54;;;58;;
1339412;"A look at the sexism that kept me trapped by Christian men in my #MeToo

#EmptyThePews
#NaNoWriMo 
#WednesdayWisdom

https://t.co/K6j0DTNBgz";POLITICS;45;;;54;;
1339929;Benieuwd wat er zal gebeuren zodra de pijlen zich op de vrouwen van Hollywood gaan richten. #MeToo https://t.co/zKOlniibdx;WEALTH;83;;;87;;
1339941;RT @AnnLeiterin: Medienversagen im Fall @Kachelmann + richtige #metoo Debatte: Heute ALLE Seiten bei @ZappMM Dazu ?????? + ARD-Strukturrefo?;WEALTH;54;;;58;;
1340000;Veel mediaberichten over #MeToo - ik sprak erover met Mariska #csg https://t.co/vGllxNzAXu;WEALTH;12;;;16;;
1341057;@EWdeVlieger @APechtold zijn vrouw weet het zeker..die twijvelt al.jaren of ze een #MeToo bericht de wereld in gooi? https://t.co/TKyyGlRVOQ;WEALTH;92;;;96;;
1343389;"ehemaliger Ski-Star berichtet von sexuellen ?bergriffen #MeToo #NOMORE 
https://t.co/seT7WcIqvZ";WEALTH;22;;;26;;
1343799;The latest The Nelson da Silva Daily! https://t.co/cIS8K0Iu9y Thanks to @xeniadendrijver #persbericht #metoo;WEALTH;96;;;100;;
1344057;"RT @Sammelklaeger: Noch nie f?r Karriere hochgebumst &amp; Millionen verdient um mich nach 30 Jahren auf 1 Stufe mit richtigen Missbrauchsopfer?";WEALTH;117;;;121;;
1344069;"RT @Sammelklaeger: Noch nie f?r Karriere hochgebumst &amp; Millionen verdient um mich nach 30 Jahren auf 1 Stufe mit richtigen Missbrauchsopfer?";WEALTH;117;;;121;;
1344157;"A Christian Male Response to #MeToo: Smash the Patriarchy

https://t.co/2rEOpqeGaG https://t.co/Xutn5NZt2v";POLITICS;2;;;11;;
1344232;"RT @Sammelklaeger: Noch nie f?r Karriere hochgebumst &amp; Millionen verdient um mich nach 30 Jahren auf 1 Stufe mit richtigen Missbrauchsopfer?";WEALTH;117;;;121;;
1344834;"RT @Sammelklaeger: Noch nie f?r Karriere hochgebumst &amp; Millionen verdient um mich nach 30 Jahren auf 1 Stufe mit richtigen Missbrauchsopfer?";WEALTH;117;;;121;;
1345300;"RT @elizebethtown: A look at the sexism that kept me trapped by Christian men in my #MeToo

#EmptyThePews
#NaNoWriMo 
#WednesdayWisdom

htt?";POLITICS;64;;;73;;
1345390;"RT @elizebethtown: A look at the sexism that kept me trapped by Christian men in my #MeToo

#EmptyThePews
#NaNoWriMo 
#WednesdayWisdom

htt?";POLITICS;64;;;73;;
1346077;"RT @ZappMM: ?ber #MeToo &amp; Sexismus berichten Medien gern. Doch wie sieht es in Redaktionen aus? ZAPP hat @ndr Volont?re gefragt.
https://t.?";WEALTH;41;;;45;;
1346248;"RT @ZappMM: ?ber #MeToo &amp; Sexismus berichten Medien gern. Doch wie sieht es in Redaktionen aus? ZAPP hat @ndr Volont?re gefragt.
https://t.?";WEALTH;41;;;45;;
1346282;Das k?nnte ich gut hei?en! Wenn Menschen die richtigen Schl?sse aus ihren sexistischen Taten ziehen! #MeToo https://t.co/ceU3gmLtSn;WEALTH;45;;;49;;
1346286;Heftig hoor wat er allemaal loskomt met #metoo. Je durft als getrouwde man bijna geen seksuele toespelingen meer te maken richting collegas;WEALTH;122;;;126;;
1347382;"RT @missioalliance: A Christian Male Response to #MeToo: Smash the Patriarchy

https://t.co/2rEOpqeGaG https://t.co/Xutn5NZt2v";POLITICS;22;;;31;;
1350505;"RT @tagesthemen: Es bewegt sich was: #metoo bricht die Schweigespirale auf. Und diesmal wird es danach nicht wieder zappenduster."" @SoniaM?""";WEALTH;45;;;49;;
1350594;"RT @tagesthemen: Es bewegt sich was: #metoo bricht die Schweigespirale auf. Und diesmal wird es danach nicht wieder zappenduster."" @SoniaM?""";WEALTH;45;;;49;;
1350900;"RT @tagesthemen: Es bewegt sich was: #metoo bricht die Schweigespirale auf. Und diesmal wird es danach nicht wieder zappenduster."" @SoniaM?""";WEALTH;45;;;49;;
1350909;RT @KVINFO: M?nd og #metoo. Kom til #wakeupcall tirsdag morgen og h?r mandeforsker Christian Groes udfolde et interessant tema! https://t.c?;POLITICS;83;;;92;;
